"","ID","Y0"
"1","CR213194",0.5
"2","CR213195",0.5
"3","CR213196",NA
"4","CR213197",NA
"5","CR214192",0.5
"6","CR214193",0.5
"7","CR214194",0.5
"8","CR214195",0.5
"9","CR214196",NA
"10","CR214197",NA
"11","CR214198",NA
"12","CR214199",NA
"13","CR215191",0.5
"14","CR215192",0.5
"15","CR215193",0.5
"16","CR215194",0.5
"17","CR215195",0.5
"18","CR215196",NA
"19","CR215197",NA
"20","CR215198",NA
"21","CR215199",NA
"22","CR216190",0.5
"23","CR216191",0.5
"24","CR216192",0.5
"25","CR216193",0.5
"26","CR216194",0.5
"27","CR216195",0.5
"28","CR216196",NA
"29","CR216197",NA
"30","CR216198",NA
"31","CR216199",NA
"32","CR216200",NA
"33","CR217190",0.5
"34","CR217191",0.5
"35","CR217192",0.5
"36","CR217193",0.5
"37","CR217194",0.5
"38","CR217195",0.5
"39","CR217196",NA
"40","CR217197",NA
"41","CR217198",NA
"42","CR217199",NA
"43","CR217200",NA
"44","CR218189",0.5
"45","CR218190",0.5
"46","CR218191",0.5
"47","CR218192",0.5
"48","CR218193",0.5
"49","CR218194",0.5
"50","CR218195",NA
"51","CR218196",NA
"52","CR218197",NA
"53","CR218198",NA
"54","CR218199",NA
"55","CR218200",NA
"56","CR219189",0.5
"57","CR219190",0.5
"58","CR219191",0.5
"59","CR219192",0.5
"60","CR219193",0.5
"61","CR219194",0.5
"62","CR219195",NA
"63","CR219196",NA
"64","CR219197",NA
"65","CR219198",NA
"66","CR219199",NA
"67","CR219200",NA
"68","CR219201",NA
"69","CR219202",NA
"70","CR220180",NA
"71","CR220181",NA
"72","CR220189",0.5
"73","CR220190",0.5
"74","CR220191",0.5
"75","CR220192",0.5
"76","CR220193",0.5
"77","CR220194",0.5
"78","CR220195",NA
"79","CR220196",NA
"80","CR220197",NA
"81","CR220198",NA
"82","CR220199",NA
"83","CR220200",NA
"84","CR220201",NA
"85","CR220202",NA
"86","CR220203",NA
"87","CR221177",NA
"88","CR221178",NA
"89","CR221179",NA
"90","CR221180",NA
"91","CR221181",NA
"92","CR221182",NA
"93","CR221185",NA
"94","CR221186",0.5
"95","CR221187",0.5
"96","CR221188",0.5
"97","CR221189",0.5
"98","CR221190",0.5
"99","CR221191",0.5
"100","CR221192",0.5
"101","CR221193",0.5
"102","CR221194",0.5
"103","CR221195",0.75
"104","CR221196",0.749999940395355
"105","CR221197",0.75
"106","CR221198",0.749999940395355
"107","CR221199",NA
"108","CR221200",NA
"109","CR221201",NA
"110","CR221202",NA
"111","CR222177",NA
"112","CR222178",NA
"113","CR222179",NA
"114","CR222180",NA
"115","CR222181",NA
"116","CR222182",NA
"117","CR222183",NA
"118","CR222184",NA
"119","CR222185",0.5
"120","CR222186",0.5
"121","CR222187",0.5
"122","CR222188",0.5
"123","CR222189",0.5
"124","CR222190",0.5
"125","CR222191",0.5
"126","CR222192",0.5
"127","CR222193",0.5
"128","CR222194",0.75
"129","CR222195",0.749999940395355
"130","CR222196",0.749999940395355
"131","CR222197",0.750000059604645
"132","CR222198",0.750000059604645
"133","CR222199",NA
"134","CR222200",NA
"135","CR222201",2.85407519340515
"136","CR222202",NA
"137","CR223177",NA
"138","CR223178",NA
"139","CR223179",NA
"140","CR223180",NA
"141","CR223181",NA
"142","CR223182",NA
"143","CR223183",NA
"144","CR223184",NA
"145","CR223185",NA
"146","CR223186",0.5
"147","CR223187",0.5
"148","CR223188",0.5
"149","CR223189",0.5
"150","CR223190",0.5
"151","CR223191",0.5
"152","CR223192",0.5
"153","CR223193",0.5
"154","CR223194",NA
"155","CR223195",0.75
"156","CR223196",0.75
"157","CR223197",0.75
