"ID","Year","soyarea"
"CR213194","X2005",0
"CR213194","X2010",0
"CR213194","X2012",0
"CR213195","X2005",0
"CR213195","X2010",0
"CR213195","X2012",0
"CR213196","X2005",0
"CR213196","X2010",0
"CR213196","X2012",0
"CR213197","X2005",0
"CR213197","X2010",0
"CR213197","X2012",0
"CR214192","X2005",0
"CR214192","X2010",0
"CR214192","X2012",0
"CR214193","X2005",0
"CR214193","X2010",0
"CR214193","X2012",0
"CR214194","X2005",0
"CR214194","X2010",0
"CR214194","X2012",0
"CR214195","X2005",0
"CR214195","X2010",0
"CR214195","X2012",0
"CR214196","X2005",0
"CR214196","X2010",0
"CR214196","X2012",0
"CR214197","X2005",0
"CR214197","X2010",0
"CR214197","X2012",0
"CR214198","X2005",0
"CR214198","X2010",0
"CR214198","X2012",0
"CR214199","X2005",0
"CR214199","X2010",0
"CR214199","X2012",0
"CR215191","X2005",0
"CR215191","X2010",0
"CR215191","X2012",0
"CR215192","X2005",0
"CR215192","X2010",0
"CR215192","X2012",0
"CR215193","X2005",0
"CR215193","X2010",0
"CR215193","X2012",0
"CR215194","X2005",0
"CR215194","X2010",0
"CR215194","X2012",0
"CR215195","X2005",0
"CR215195","X2010",0
"CR215195","X2012",0
"CR215196","X2005",0
"CR215196","X2010",0
"CR215196","X2012",0
"CR215197","X2005",0
"CR215197","X2010",0
"CR215197","X2012",0
"CR215198","X2005",0
"CR215198","X2010",0
"CR215198","X2012",0
"CR215199","X2005",0
"CR215199","X2010",0
"CR215199","X2012",0
"CR216190","X2005",0
"CR216190","X2010",0
"CR216190","X2012",0
"CR216191","X2005",0
"CR216191","X2010",0
"CR216191","X2012",0
"CR216192","X2005",0
"CR216192","X2010",0
"CR216192","X2012",0
"CR216193","X2005",0
"CR216193","X2010",0
"CR216193","X2012",0
"CR216194","X2005",0
"CR216194","X2010",0
"CR216194","X2012",0
"CR216195","X2005",0
"CR216195","X2010",0
"CR216195","X2012",0
"CR216196","X2005",0
"CR216196","X2010",0
"CR216196","X2012",0
"CR216197","X2005",0
"CR216197","X2010",0
"CR216197","X2012",0
"CR216198","X2005",0
"CR216198","X2010",0
"CR216198","X2012",0
"CR216199","X2005",0
"CR216199","X2010",0
"CR216199","X2012",0
"CR216200","X2005",0
"CR216200","X2010",0
"CR216200","X2012",0
"CR217190","X2005",0
"CR217190","X2010",0
"CR217190","X2012",0
"CR217191","X2005",0
"CR217191","X2010",0
"CR217191","X2012",0
"CR217192","X2005",0
"CR217192","X2010",0
"CR217192","X2012",0
"CR217193","X2005",0
