ID,Country,area_km2
CR213194,Brazil,"679"
CR213195,Brazil,"1696"
CR213196,Brazil,"1949"
CR213197,Brazil,"339"
CR214192,Brazil,"255"
CR214193,Brazil,"1020"
CR214194,Brazil,"2717"
CR214195,Brazil,"3053"
CR214196,Brazil,"3050"
CR214197,Brazil,"2962"
CR214198,Brazil,"1014"
CR214199,Brazil,"253"
CR215191,Brazil,"2043"
CR215192,Brazil,"2892"
CR215193,Brazil,"3059"
CR215194,Brazil,"3056"
CR215195,Brazil,"3053"
CR215196,Brazil,"3050"
CR215197,Brazil,"3046"
CR215198,Brazil,"3042"
CR215199,Brazil,"2448"
CR216190,Brazil,"1193"
CR216191,Brazil,"3065"
CR216192,Brazil,"3062"
CR216193,Brazil,"3059"
CR216194,Brazil,"3056"
CR216195,Brazil,"3053"
CR216196,Brazil,"3050"
CR216197,Brazil,"3046"
CR216198,Brazil,"3042"
CR216199,Brazil,"3038"
CR216200,Brazil,"1264"
CR217190,Brazil,"2982"
CR217191,Brazil,"3065"
CR217192,Brazil,"3062"
CR217193,Brazil,"3059"
CR217194,Brazil,"3056"
CR217195,Brazil,"3053"
CR217196,Brazil,"3050"
CR217197,Brazil,"3046"
CR217198,Brazil,"3042"
CR217199,Brazil,"3038"
CR217200,Brazil,"3034"
CR218189,Brazil,"597"
CR218190,Brazil,"3067"
CR218191,Brazil,"3065"
CR218192,Brazil,"3062"
CR218193,Brazil,"3059"
CR218194,Brazil,"3056"
CR218195,Brazil,"3053"
CR218196,Brazil,"3050"
CR218197,Brazil,"3046"
CR218198,Brazil,"3042"
CR218199,Brazil,"3038"
CR218200,Brazil,"2613"
CR219189,Brazil,"1875"
CR219190,Brazil,"3067"
CR219191,Brazil,"3065"
CR219192,Brazil,"3062"
CR219193,Brazil,"3059"
CR219194,Brazil,"3056"
CR219195,Brazil,"3053"
CR219196,Brazil,"3050"
CR219197,Brazil,"3046"
CR219198,Brazil,"3042"
CR219199,Brazil,"2954"
CR219200,Brazil,"1096"
CR219201,Brazil,"505"
CR219202,Brazil,"420"
CR220180,Brazil,"256"
CR220181,Brazil,"171"
CR220189,Brazil,"1620"
CR220190,Brazil,"3067"
CR220191,Brazil,"3065"
CR220192,Brazil,"3062"
CR220193,Brazil,"3059"
CR220194,Brazil,"3056"
CR220195,Brazil,"3053"
CR220196,Brazil,"3050"
CR220197,Brazil,"3046"
CR220198,Brazil,"3042"
CR220199,Brazil,"3038"
CR220200,Brazil,"3034"
CR220201,Brazil,"3029"
CR220202,Brazil,"3025"
CR220203,Brazil,"252"
CR221177,Brazil,"940"
CR221178,Brazil,"1709"
CR221179,Brazil,"769"
CR221180,Brazil,"3077"
CR221181,Brazil,"2564"
CR221182,Brazil,"342"
CR221185,Brazil,"427"
CR221186,Brazil,"1025"
CR221187,Brazil,"1536"
CR221188,Brazil,"2133"
CR221189,Brazil,"2387"
CR221190,Brazil,"3067"
CR221191,Brazil,"3065"
CR221192,Brazil,"3062"
CR221193,Brazil,"3059"
CR221194,Brazil,"3056"
CR221195,Brazil,"3053"
CR221196,Brazil,"3050"
CR221197,Brazil,"3046"
CR221198,Brazil,"3042"
CR221199,Brazil,"3038"
CR221200,Brazil,"3034"
CR221201,Brazil,"3029"
CR221202,Brazil,"2689"
CR222177,Brazil,"1538"
CR222178,Brazil,"2906"
CR222179,Brazil,"1795"
CR222180,Brazil,"3077"
CR222181,Brazil,"3077"
CR222182,Brazil,"3077"
CR222183,Brazil,"2393"
CR222184,Brazil,"2905"
CR222185,Brazil,"3075"
CR222186,Brazil,"2903"
CR222187,Brazil,"3072"
CR222188,Brazil,"2730"
CR222189,Brazil,"2813"
CR222190,Brazil,"3067"
CR222191,Brazil,"3065"
CR222192,Brazil,"3062"
