"ID","Country","nid","area","perimeter","NM_MUNICIP","Geocodigo"
"CR257225","Brazil",257225,2853601899.50418,213812.845544917,"PRESIDENTE BERNARDES","3541208"
"CR256225","Brazil",256225,2774264730.78014,249463.684807554,"PRESIDENTE EPITÁCIO","3541307"
"CR257224","Brazil",257224,2783841051.24667,231423.240208098,"PRESIDENTE VENCESLAU","3541505"
"CR257223","Brazil",257223,2713503175.52539,286010.995815757,"SANTA MERCEDES","3547106"
"CR253234","Brazil",253234,1181146512.29815,156011.483917886,"BANDEIRANTE","4202081"
"CR255235","Brazil",255235,2743429996.82222,209840.96040063,"CHAPECÓ","4204202"
"CR256235","Brazil",256235,2743429996.82222,209840.960400629,"ITÁ","4208005"
"CR254234","Brazil",254234,2755395027.90501,210272.074802955,"MARAVILHA","4210506"
"CR256234","Brazil",256234,2755395027.90512,210272.074802954,"OURO VERDE","4211850"
"CR257235","Brazil",257235,2743429996.82225,209840.96040063,"PRESIDENTE CASTELLO BRANCO","4213906"
"CR255234","Brazil",255234,2755395027.90512,210272.074802955,"QUILOMBO","4214201"
"CR252244","Brazil",252244,1493123360.69329,180279.001066388,"ACEGUÁ","4300034"
"CR254240","Brazil",254240,2680500938.88422,207574.501776687,"AGUDO","4300109"
"CR253237","Brazil",253237,2718871427.71163,208956.268009976,"AJURICABA","4300208"
"CR248240","Brazil",248240,2680495577.88243,207574.308324179,"ALEGRETE","4300406"
"CR250240","Brazil",250240,2680500938.88425,207574.501776688,"ALEGRETE","4300406"
"CR249240","Brazil",249240,2680500938.88434,207574.501776687,"ALEGRETE","4300406"
"CR257241","Brazil",257241,2667299845.31575,207099.248627122,"ARROIO DOS RATOS","4301107"
"CR255245","Brazil",255245,2032577575.91512,276350.596041738,"ARROIO GRANDE","4301305"
"CR254245","Brazil",254245,2612240723.73261,204727.518104336,"ARROIO GRANDE","4301305"
"CR252243","Brazil",252243,2640283748.84306,206126.819132088,"BAGÉ","4301602"
"CR245241","Brazil",245241,70632330.4913422,33018.7467443947,"BARRA DO QUARAÍ","4301875"
"CR246241","Brazil",246241,1012186618.52428,145187.146399134,"BARRA DO QUARAÍ","4301875"
"CR253238","Brazil",253238,2706279441.41012,208502.724604855,"BOA VISTA DO CADEADO","4302220"
"CR251238","Brazil",251238,2706284853.97981,208502.919947821,"BOSSOROCA","4302501"
"CR254242","Brazil",254242,2653895585.48045,206616.750380699,"CAÇAPAVA DO SUL","4302808"
"CR253242","Brazil",253242,2653890277.68929,206616.55887757,"CAÇAPAVA DO SUL","4302808"
"CR255241","Brazil",255241,2667299845.31576,207099.248627122,"CACHOEIRA DO SUL","4303004"
"CR254241","Brazil",254241,2667299845.31578,207099.248627122,"CACHOEIRA DO SUL","4303004"
"CR257242","Brazil",257242,2653895585.4805,206616.7503807,"CAMAQUÃ","4303509"
"CR255240","Brazil",255240,2680500938.8844,207574.501776687,"CANDELÁRIA","4304200"
"CR255243","Brazil",255243,2640283748.84301,206126.819132089,"CANGUÇU","4304507"
"CR255237","Brazil",255237,2718876865.46536,208956.464275901,"CARAZINHO","4304705"
"CR257237","Brazil",257237,2718876865.46543,208956.464275901,"CASEIROS","4304952"
"CR255244","Brazil",255244,2626481035.52895,205630.153510321,"CERRITO","4305124"
"CR253236","Brazil",253236,2731251577.12575,209402.217077597,"CORONEL BICACO","4305900"
"CR257239","Brazil",257239,2693498025.33434,208042.477015982,"CORONEL PILAR","4305934"
"CR252235","Brazil",252235,664267659.398365,133172.878377104,"CRISSIUMAL","4306007"
"CR252240","Brazil",252240,2680500938.88425,207574.501776686,"DILERMANDO DE AGUIAR","4306379"
"CR256242","Brazil",256242,2653895585.48036,206616.750380698,"DOM FELICIANO","4306502"
"CR251242","Brazil",251242,2653895585.48052,206616.7503807,"DOM PEDRITO","4306601"
"CR251243","Brazil",251243,2227826199.70301,197899.33109942,"DOM PEDRITO","4306601"
"CR255242","Brazil",255242,2653895585.4804,206616.7503807,"ENCRUZILHADA DO SUL","4306908"
"CR256236","Brazil",256236,2731257039.63975,209402.414251546,"ERECHIM","4307005"
"CR255238","Brazil",255238,2706284853.97988,208502.919947821,"ESPUMOSO","4307500"
"CR254238","Brazil",254238,2706284853.97995,208502.919947821,"FORTALEZA DOS VALOS","4308458"
"CR249237","Brazil",249237,948992668.456192,174818.476521775,"GARRUCHOS","4308656"
"CR253243","Brazil",253243,2640278468.27553,206126.628625565,"HULHA NEGRA","4309654"
