"","Country","ID","val","Par","Year"
"1","Brazil","CR254205",2791441052.13385,"area","X2000"
"2","Brazil","CR254205",2842323103.24866,"area","X2005"
"3","Brazil","CR254205",2858240619.72194,"area","X2010"
"4","Brazil","CR254205",2886768650.08642,"area","X2012"
"5","Brazil","CR254205",2800683132.35942,"area","X2015"
"6","Brazil","CR254205",2786378815.42284,"area","X2019"
"7","Brazil","CR254205",381923.451599121,"croparea","X2000"
"8","Brazil","CR254205",905930.193477137,"croparea","X2005"
"9","Brazil","CR254205",1235876.24934297,"croparea","X2010"
"10","Brazil","CR254205",709951.433484605,"croparea","X2012"
"11","Brazil","CR254205",1173497.99530676,"croparea","X2015"
"12","Brazil","CR254205",2931150.10349361,"croparea","X2019"
"13","Brazil","CR254205",370107.002864344,"newcroparea","X2005"
"14","Brazil","CR254205",464908.639906939,"newcroparea","X2010"
"15","Brazil","CR254205",237549.311725213,"newcroparea","X2012"
"16","Brazil","CR254205",360310.218457031,"newcroparea","X2015"
"17","Brazil","CR254205",1367290.36948482,"newcroparea","X2019"
"18","Brazil","CR275205",1743708060.29114,"area","X2000"
"19","Brazil","CR275205",1669234254.22198,"area","X2005"
"20","Brazil","CR275205",1792259474.36569,"area","X2010"
"21","Brazil","CR275205",1869473450.0863,"area","X2012"
"22","Brazil","CR275205",1982687178.19647,"area","X2015"
"23","Brazil","CR275205",1767027068.1405,"area","X2019"
"24","Brazil","CR275205",8194556.02618408,"croparea","X2000"
"25","Brazil","CR275205",2417210.9798584,"croparea","X2005"
"26","Brazil","CR275205",11227227.0585327,"croparea","X2010"
"27","Brazil","CR275205",26382794.4386685,"croparea","X2012"
"28","Brazil","CR275205",61026012.3841991,"croparea","X2015"
"29","Brazil","CR275205",65297703.6321675,"croparea","X2019"
"30","Brazil","CR275205",11368.8450927734,"newcroparea","X2005"
"31","Brazil","CR275205",1019723.2210083,"newcroparea","X2010"
"32","Brazil","CR275205",1892553.16741943,"newcroparea","X2012"
"33","Brazil","CR275205",4242219.82147217,"newcroparea","X2015"
"34","Brazil","CR275205",4410095.14208984,"newcroparea","X2019"
"35","Brazil","CR277205",2077374438.59179,"area","X2000"
"36","Brazil","CR277205",2063467706.21764,"area","X2005"
"37","Brazil","CR277205",2093853651.02176,"area","X2010"
"38","Brazil","CR277205",2147754447.79441,"area","X2012"
"39","Brazil","CR277205",2100067594.58566,"area","X2015"
"40","Brazil","CR277205",2098253438.39228,"area","X2019"
"41","Brazil","CR277205",96054080.1728437,"croparea","X2000"
"42","Brazil","CR277205",133512400.946059,"croparea","X2005"
"43","Brazil","CR277205",132631528.391693,"croparea","X2010"
"44","Brazil","CR277205",122549032.598509,"croparea","X2012"
