"ID","L","NL"
"CR213194",0,0.71
"CR213195",0,0.71
"CR213196",0,0.71
"CR213197",0,0.71
"CR214192",0,0.71
"CR214193",0,0.71
"CR214194",0,0.71
"CR214195",0,0.71
"CR214196",0,0.71
"CR214197",0,0.71
"CR214198",0,0.71
"CR214199",0,0.71
"CR215191",0,0.71
"CR215192",0,0.71
"CR215193",0,0.71
"CR215194",0,0.71
"CR215195",0,0.71
"CR215196",0,0.71
"CR215197",0,0.71
"CR215198",0,0.71
"CR215199",0,0.71
"CR216190",0,0.71
"CR216191",0,0.71
"CR216192",0,0.71
"CR216193",0,0.71
"CR216194",0,0.71
"CR216195",0,0.71
"CR216196",0,0.71
"CR216197",0,0.71
"CR216198",0,0.71
"CR216199",0,0.71
"CR216200",0,0.71
"CR217190",0,0.71
"CR217191",0,0.71
"CR217192",0,0.71
"CR217193",0,0.71
"CR217194",0,0.71
"CR217195",0,0.71
"CR217196",0,0.71
"CR217197",0,0.71
"CR217198",0,0.71
"CR217199",0,0.71
"CR217200",0,0.71
"CR218189",0,0.71
"CR218190",0,0.71
"CR218191",0,0.71
"CR218192",0,0.71
"CR218193",0,0.71
"CR218194",0,0.71
"CR218195",0,0.71
"CR218196",0,0.71
"CR218197",0,0.71
"CR218198",0,0.71
"CR218199",0,0.71
"CR218200",0,0.71
"CR219189",0,0.71
"CR219190",0,0.71
"CR219191",0,0.71
"CR219192",0,0.71
"CR219193",0,0.71
"CR219194",0,0.71
"CR219195",0,0.71
"CR219196",0,0.71
"CR219197",0,0.71
"CR219198",0,0.71
"CR219199",0,0.71
"CR219200",0,0.71
"CR219201",0,0.71
"CR219202",0,0.71
"CR220180",0,0.71
"CR220181",0,0.71
"CR220189",0,0.71
"CR220190",0,0.71
"CR220191",0,0.71
"CR220192",0,0.71
"CR220193",0,0.71
"CR220194",0,0.71
"CR220195",0,0.71
"CR220196",0,0.71
"CR220197",0,0.71
"CR220198",0,0.71
"CR220199",0,0.71
"CR220200",0,0.71
"CR220201",0,0.71
"CR220202",0,0.71
"CR220203",0,0.71
"CR221177",0,0.71
"CR221178",0,0.71
"CR221179",0,0.71
"CR221180",0,0.71
"CR221181",0,0.71
"CR221182",0,0.71
"CR221185",0,0.71
"CR221186",0,0.71
"CR221187",0,0.71
"CR221188",0,0.71
"CR221189",0,0.71
"CR221190",0,0.71
"CR221191",0,0.71
"CR221192",0,0.71
"CR221193",0,0.71
"CR221194",0,0.71
"CR221195",0,0.71
"CR221196",0,0.71
"CR221197",0,0.71
"CR221198",0,0.71
"CR221199",0,0.71
"CR221200",0,0.71
"CR221201",0,0.71
"CR221202",0,0.71
"CR222177",0,0.71
"CR222178",0,0.71
"CR222179",0,0
"CR222180",0,0.71
"CR222181",0,0.71
"CR222182",0,0.71
"CR222183",0,0.71
"CR222184",0,0.71
"CR222185",0,0.71
"CR222186",0,0.71
"CR222187",0,0.71
"CR222188",0,0.71
"CR222189",0,0.71
"CR222190",0,0.71
"CR222191",0,0.71
"CR222192",0,0.71
"CR222193",0,0.71
"CR222194",0,0.71
"CR222195",0,0.71
"CR222196",0,0.71
"CR222197",0,0.71
"CR222198",0,0.71
"CR222199",0,0.71
"CR222200",0,0.71
"CR222201",0,0.71
"CR222202",0,0.71
"CR223177",0,0.71
"CR223178",0,0.71
"CR223179",0,0.71
"CR223180",0,0.71
"CR223181",0,0.71
"CR223182",0,0.71
"CR223183",0,0.71
"CR223184",0,0.71
"CR223185",0,0.71
"CR223186",0,0.71
"CR223187",0,0.71
"CR223188",0,0.71
"CR223189",0,0.71
"CR223190",0,0.71
"CR223191",0,0.71
"CR223192",0,0.71
"CR223193",0,0.71
"CR223194",0,0.71
"CR223195",0,0.71
"CR223196",0,0.71
"CR223197",0,0.71
"CR223198",0,0.71
"CR223199",0,0.71
"CR223200",0,0.71
"CR223201",0,0.71
"CR223202",0,0.71
"CR223203",0,0.71
"CR224177",0,0.71
"CR224178",0,0.71
"CR224179",0,0.71
"CR224180",0,0.71
"CR224181",0,0.71
"CR224182",0,0.71
"CR224183",0,0.71
"CR224184",0,0.71
"CR224185",0,0.71
"CR224186",0,0.71
"CR224187",0,0.71
"CR224188",0,0.71
"CR224189",0,0.71
"CR224190",0,0.71
"CR224191",0,0.71
"CR224192",0,0.71
"CR224193",0,0.71
"CR224194",0,0.71
"CR224195",0,0.71
"CR224196",0,0.71
"CR224197",0,0.71
"CR224198",0,0.71
"CR224199",0,0.71
"CR224200",0,0.71
"CR224201",0,0.71
"CR224202",0,0.71
"CR225176",0,0.71
"CR225177",0,0.71
"CR225178",0,0.71
"CR225179",0,0.71
"CR225180",0,0.71
"CR225181",0,0.71
"CR225182",0,0.71
"CR225183",0,0.71
"CR225184",0,0.71
"CR225185",0,0.71
"CR225186",0,0.71
"CR225187",0,0.71
"CR225188",0,0.71
"CR225189",0,0.71
"CR225190",0,0.71
"CR225191",0,0.71
"CR225192",0,0.71
"CR225193",0,0.71
"CR225194",0,0.71
"CR225195",0,0.71
"CR225196",0,0.71
"CR225197",0,0.71
"CR225198",0,0.71
"CR225199",0,0.71
"CR225200",0,0.71
"CR225201",0,0.71
"CR225202",0,0.71
"CR226176",0,0.71
"CR226177",0,0.71
"CR226178",0,0.71
"CR226179",0,0.71
"CR226180",0,0.71
"CR226181",0,0.71
"CR226182",0,0.71
"CR226183",0,0.71
"CR226184",0,0.71
"CR226185",0,0.71
"CR226186",0,0.71
"CR226187",0,0.71
"CR226188",0,0.71
"CR226189",0,0.71
"CR226190",0,0.71
"CR226191",0,0.71
"CR226192",0,0.71
"CR226193",0,0.71
"CR226194",0,0.71
"CR226195",0,0.71
"CR226196",0,0.71
"CR226197",0,0.71
"CR226198",0,0.71
"CR226199",0,0.71
"CR226200",0,0.71
"CR226201",0,0.71
"CR227178",0,0.71
"CR227179",0,0.71
"CR227180",0,0.71
"CR227181",0,0.71
"CR227182",0,0.71
"CR227183",0,0.71
"CR227184",0,0.71
"CR227185",0,0.71
"CR227186",0,0.71
"CR227187",0,0.71
"CR227188",0,0.71
"CR227189",0,0.71
"CR227190",0,0.71
"CR227191",0,0.71
"CR227192",0,0.71
"CR227193",0,0.71
"CR227194",0,0.71
"CR227195",0,0.71
"CR227196",0,0.71
"CR227197",0,0.71
"CR227198",0,0.71
"CR227199",0,0.71
"CR227200",0,0.71
"CR227201",0,0.71
"CR228179",0,0.71
"CR228180",0,0.71
"CR228181",0,0.71
"CR228182",0,0.71
"CR228183",0,0.71
"CR228184",0,0.71
"CR228185",0,0.71
"CR228186",0,0.71
"CR228187",0,0.71
"CR228188",0,0.71
"CR228189",0,0.71
"CR228190",0,0.71
"CR228191",0,0.71
"CR228192",0,0.71
"CR228193",0,0.71
"CR228194",0,0.71
"CR228195",0,0.71
"CR228196",0,0.71
"CR228197",0,0.71
"CR228198",0,0.71
"CR228199",0,0.71
"CR228200",0,0.71
"CR229179",0,0.71
"CR229180",0,0.71
"CR229181",0,0.71
"CR229182",0,0.71
"CR229183",0,0.71
"CR229184",0,0.71
"CR229185",0,0.71
"CR229186",0,0.71
"CR229187",0,0.71
"CR229188",0,0.71
"CR229189",0,0.71
"CR229190",0,0.71
"CR229191",0,0.71
"CR229192",0,0.71
"CR229193",0,0.71
"CR229194",0,0.71
"CR229195",0,0.71
"CR229196",0,0.71
"CR229197",0,0.71
"CR229198",0,0.71
"CR229199",0,0.71
"CR229200",0,0.71
"CR230178",0,0.71
"CR230179",0,0.71
"CR230180",0,0.71
"CR230181",0,0.71
"CR230182",0,0.71
"CR230183",0,0.71
"CR230184",0,0.71
"CR230185",0,0.71
"CR230186",0,0.71
"CR230187",0,0.71
"CR230188",0,0.71
"CR230189",0,0.71
"CR230190",0,0.71
"CR230191",0,0.71
"CR230192",0,0.71
"CR230193",0,0.71
"CR230194",0,0.71
"CR230195",0,0.71
"CR230196",0,0.71
"CR230197",0,0.71
"CR230198",0,0.71
"CR230199",0,0.71
"CR230200",0,0.71
"CR230201",0,0.71
"CR230202",0,0.71
"CR230203",0,0.71
"CR230204",0,0.71
"CR231172",0,0.71
"CR231173",0,0.71
"CR231178",0,0.71
"CR231179",0,0.71
"CR231180",0,0.71
"CR231181",0,0.71
"CR231182",0,0.71
"CR231183",0,0.71
"CR231184",0,0.71
"CR231185",0,0.71
"CR231186",0,0.71
"CR231187",0,0.71
"CR231188",0,0.71
"CR231189",0,0.71
"CR231190",0,0.71
"CR231191",0,0.71
"CR231192",0,0.71
"CR231193",0,0.71
"CR231194",0,0.71
"CR231195",0,0.71
"CR231196",0,0.71
"CR231197",0,0.71
"CR231198",0,0.71
"CR231199",0,0.71
"CR231200",0,0.71
"CR231201",0,0.71
"CR231202",0,0.71
"CR231203",0,0.71
"CR231204",0,0.71
"CR231205",0,0.71
"CR232172",0,0.71
"CR232173",0,0.71
"CR232174",0,0.71
"CR232175",0,0.71
"CR232177",0,0
"CR232178",0,0.71
"CR232179",0,0.71
"CR232180",0,0.71
"CR232181",0,0.71
"CR232182",0,0.71
"CR232183",0,0.71
"CR232184",0,0.71
"CR232185",0,0.71
"CR232186",0,0.71
"CR232187",0,0.71
"CR232188",0,0.71
"CR232189",0,0.71
"CR232190",0,0.71
"CR232191",0,0.71
"CR232192",0,0.71
"CR232193",0,0.71
"CR232194",0,0.71
"CR232195",0,0.71
"CR232196",0,0.71
"CR232197",0,0.71
"CR232198",0,0.71
"CR232199",0,0.71
"CR232200",0,0.71
"CR232201",0,0.71
"CR232202",0,0.71
"CR232203",0,0.71
"CR232204",0,0.71
"CR232205",0,0.71
"CR233173",0,0.71
"CR233174",0,0.71
"CR233175",0,0.71
"CR233176",0,0.71
"CR233177",0,0.71
"CR233178",0,0.71
"CR233179",0,0.71
"CR233180",0,0.71
"CR233181",0,0.71
"CR233182",0,0.71
"CR233183",0,0.71
"CR233184",0,0.71
"CR233185",0,0.71
"CR233186",0,0.71
"CR233187",0,0.71
"CR233188",0,0.71
"CR233189",0,0.71
"CR233190",0,0.71
"CR233191",0,0.71
"CR233192",0,0.71
"CR233193",0,0.71
"CR233194",0,0.71
"CR233195",0,0.71
"CR233196",0,0.71
"CR233197",0,0.71
"CR233198",0,0.71
"CR233199",0,0.71
"CR233200",0,0.71
"CR233201",0,0.71
"CR233202",0,0.71
"CR233203",0,0.71
"CR233204",0,0.71
"CR233205",0,0.71
"CR233206",0,0
"CR234173",0,0.71
"CR234174",0,0.71
"CR234175",0,0.71
"CR234176",0,0.71
"CR234177",0,0.71
"CR234178",0,0.71
"CR234179",0,0.71
"CR234180",0,0.71
"CR234181",0,0.71
"CR234182",0,0.71
"CR234183",0,0.71
"CR234184",0,0.71
"CR234185",0,0.71
"CR234186",0,0.71
"CR234187",0,0.71
"CR234188",0,0.71
"CR234189",0,0.71
"CR234190",0,0.71
"CR234191",0,0.71
"CR234192",0,0.71
"CR234193",0,0.71
"CR234194",0,0.71
"CR234195",0,0.71
"CR234196",0,0.71
"CR234197",0,0.71
"CR234198",0,0.71
"CR234199",0,0.71
"CR234200",0,0.71
"CR234201",0,0.71
"CR234202",0,0.71
"CR234203",0,0.71
"CR234204",0,0.71
"CR234205",0,0.71
"CR234206",0,0.71
"CR235172",0,0
"CR235173",0,0.71
"CR235174",0,0.71
"CR235175",0,0.71
"CR235176",0,0.71
"CR235177",0,0.71
"CR235178",0,0.71
"CR235179",0,0.71
"CR235180",0,0.71
"CR235181",0,0.71
"CR235182",0,0.71
"CR235183",0,0.71
"CR235184",0,0.71
"CR235185",0,0.71
"CR235186",0,0.71
"CR235187",0,0.71
"CR235188",0,0.71
"CR235189",0,0.71
"CR235190",0,0.71
"CR235191",0,0.71
"CR235192",0,0.71
"CR235193",0,0.71
"CR235194",0,0.71
"CR235195",0,0.71
"CR235196",0,0.71
"CR235197",0,0.71
"CR235198",0,0.71
"CR235199",0,0.71
"CR235200",0,0.71
"CR235201",0,0.71
"CR235202",0,0.71
"CR235203",0,0.71
"CR235204",0,0.71
"CR235205",0,0.71
"CR235206",0,0.71
"CR235207",0,0.71
"CR236172",0,0.71
"CR236173",0,0.71
"CR236174",0,0.71
"CR236175",0,0.71
"CR236176",0,0.71
"CR236177",0,0.71
"CR236178",0,0.71
"CR236179",0,0.71
"CR236180",0,0.71
"CR236181",0,0.71
"CR236182",0,0.71
"CR236183",0,0.71
"CR236184",0,0.71
"CR236185",0,0.71
"CR236186",0,0.71
"CR236187",0,0.71
"CR236188",0,0.71
"CR236189",0,0.71
"CR236190",0,0.71
"CR236191",0,0.71
"CR236192",0,0.71
"CR236193",0,0.71
"CR236194",0,0.71
"CR236195",0,0.71
"CR236196",0,0.71
"CR236197",0,0.71
"CR236198",0,0.71
"CR236199",0,0.71
"CR236200",0,0.71
"CR236201",0,0.71
"CR236202",0,0.71
"CR236203",0,0.71
"CR236204",0,0.71
"CR236205",0,0.71
"CR236206",0,0.71
"CR236207",0,0.71
"CR237172",0,0.71
