"","ID","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"1","CR237205",311.07482687005,3778.79727172851,0.416609636837136,3009,1255.8315957888,41.6609636837136
"2","CR237206",119.44316982507,3455.21870422363,0.815015411429302,3003,1150.58897909545,81.5015411429302
"3","CR237207",48.8290455743017,8758.95855712891,0.963391767875367,2831,3093.94509259234,96.3391767875367
"4","CR238201",101.684902050397,3372.43608093262,0.825124748162393,3029,1113.3826612521,82.5124748162393
"5","CR238202",129.315498698706,4169.33059692383,0.776899772230536,3025,1378.2911064211,77.6899772230536
"6","CR238204",411.3524071801,10015.0870361328,0.428957593979566,3014,3322.85568551188,42.8957593979566
"7","CR238205",534.460366658368,10013.4403686523,0.539395630432539,3009,3327.82996631849,53.9395630432539
"8","CR238206",747.733858458241,10132.0144042969,0.369143322807106,3003,3373.96417059503,36.9143322807106
"9","CR238207",323.902454985554,7199.53271484375,0.7405796968847,2997,2402.24648476602,74.05796968847
"10","CR239204",318.542579928497,5039.24267578125,0.571995938321088,3014,1671.94514790353,57.1995938321088
"11","CR239205",268.274683665026,5698.51171875,0.698546567621266,3009,1893.8224389332,69.8546567621266
"12","CR239206",349.463219318195,6428.43362426758,0.614695579707587,3003,2140.67053755164,61.4695579707587
"13","CR239207",832.291337004298,13204.9249267578,0.249609261868005,2997,4406.04768994255,24.9609261868005
"14","CR240206",335.168798183016,16286.9495849609,0.658341304529479,3003,5423.55963535163,65.8341304529479
"15","CR240207",564.805372609386,38584.1240234375,0.548443932084923,2997,12874.2489234026,54.8443932084923
"16","CR240208",146.390601721313,26944.4451904297,0.763768741194467,2908,9265.62764457692,76.3768741194467
"17","CR241205",21.1692304846576,2735.21473693848,0.959679691838915,3009,909.011212010129,95.9679691838915
"18","CR241206",17.6246292803741,8428.47692871094,0.973266204815566,3003,2806.68562394637,97.3266204815566
"19","CR241207",63.7755384180452,18284.267578125,0.911947395662962,2997,6100.85671609109,91.1947395662962
"20","CR241208",283.416104101843,35413.5500488281,0.759913828512862,2991,11840.0367933227,75.9913828512862
"21","CR242199",274.850349135588,5627.43426513672,0.718876959951035,3038,1852.34834270465,71.8876959951035
"22","CR242200",249.746216134919,5120.78228759766,0.73664952656291,3034,1687.79904007833,73.664952656291
"23","CR242201",309.851775756045,6317.11087036133,0.689203760559034,3029,2085.54337086871,68.9203760559034
"24","CR242202",150.305815139622,5125.20031738281,0.77901160986657,3025,1694.28109665548,77.901160986657
"25","CR242203",189.590668611416,7945.49163818359,0.77098156874158,3020,2630.95749608728,77.098156874158
"26","CR242204",34.6561229256849,3050.60527038574,0.917670787629775,3014,1012.14507975638,91.7670787629775
"27","CR242207",138.471526414398,36718.9953613281,0.820883092921255,2997,12251.9170374802,82.0883092921255
"28","CR242208",580.471278752618,89295.5786132812,0.510149828179685,2991,29854.7571425213,51.0149828179685
"29","CR242209",190.519230865049,39821.3928222656,0.823490142476952,2985,13340.5001079617,82.3490142476952
"30","CR243201",347.313942599626,6351.18460083008,0.64987897963957,3029,2096.79253906572,64.987897963957
"31","CR243202",411.15827573829,10910.6923828125,0.606701971768226,3025,3606.8404571281,60.6701971768226
"32","CR243203",941.652979456355,21642.9149169922,0.348288193593568,3020,7166.52811820933,34.8288193593568
"33","CR243204",278.314337895724,9603.03057861328,0.730286313063937,3014,3186.14153238662,73.0286313063937
"34","CR243206",211.728799033202,44486.7912597656,0.766972644299387,3003,14814.1163036183,76.6972644299387
"35","CR243207",480.447225578928,94996.0405273438,0.492318313024932,2997,31697.0438863342,49.2318313024932
"36","CR243208",802.329675292725,120815.254394531,0.358576904898969,2991,40392.9302556106,35.8576904898969
"37","CR243210",35.8494812939563,3896.52244567871,0.952207351419155,2978,1308.43601265235,95.2207351419155
"38","CR244201",275.252135737523,6469.31509399414,0.640421717445562,3029,2135.79237173791,64.0421717445562
"39","CR244202",110.799139345882,6582.74597167969,0.793332525813581,3025,2176.1143708032,79.3332525813581
"40","CR244203",148.794616011822,5575.38897705078,0.742318186299953,3020,1846.15529041417,74.2318186299953
"41","CR244204",587.275914513814,8226.75521850586,0.501745317056421,3014,2729.51400746711,50.1745317056421
"42","CR244205",259.454777161443,4890.53179931641,0.719729500571972,3009,1625.30136235175,71.9729500571972
"43","CR244206",213.174724392041,9039.13061523438,0.699403746933019,3003,3010.03350490655,69.9403746933019
"44","CR244207",131.03035510551,33028.3820800781,0.738344347153003,2997,11020.4811745339,73.8344347153003
"45","CR244210",120.565155167517,4106.52671813965,0.823751846039163,2978,1378.95457291459,82.3751846039163
"46","CR245201",335.764402185457,7028.02868652344,0.644382683621996,3029,2320.24717283705,64.4382683621996
"47","CR245202",389.212208455396,24693.8370361328,0.656627781891707,3025,8163.25191277118,65.6627781891707
"48","CR245203",703.63079249347,20941.5196533203,0.419504726670797,3020,6934.27803090077,41.9504726670797
"49","CR245204",252.518813521062,4592.65777587891,0.682664103323489,3014,1523.77497540773,68.2664103323489
"50","CR245205",361.103934097826,6521.1633605957,0.682961559292431,3009,2167.21946181313,68.2961559292431
"51","CR245206",104.096128954566,3386.68785095215,0.83289719601284,3003,1127.76818213525,83.289719601284
"52","CR245207",436.122295356635,56886.6701660156,0.461892503086613,2997,18981.2045932651,46.1892503086613
"53","CR245208",293.188223904593,124248.337402344,0.303092687709516,2991,41540.7346714623,30.3092687709516
"54","CR245209",248.351503826472,73587.4926757812,0.451787041670749,2985,24652.4263570456,45.1787041670749
"55","CR245210",672.555397497721,8552.13247680664,0.43562180922039,2978,2871.77047575777,43.562180922039
"56","CR245211",506.924171189427,2884.15972900391,0.480138901824448,2972,970.44405417359,48.0138901824448
"57","CR246202",106.537743550083,14871.8032226562,0.864814909091433,3025,4916.29858600207,86.4814909091433
"58","CR246203",620.580061999218,41751.3762207031,0.420291001569548,3020,13824.9590134779,42.0291001569548
"59","CR246204",327.491021984869,17075.8729248047,0.706600620472783,3014,5665.51855501151,70.6600620472783
"60","CR246205",187.372459934197,9743.18798828125,0.817523145851727,3009,3238.01528357635,81.7523145851727
"61","CR246206",222.020442636691,5718.46606445312,0.751449118135634,3003,1904.25110371399,75.1449118135634
"62","CR246207",243.219678784607,5620.44226074219,0.728068115902843,2997,1875.35610969042,72.8068115902843
"63","CR246208",299.680542248003,69448.9829101562,0.402869252319702,2991,23219.3189268326,40.2869252319702
"64","CR246209",397.618081829123,51200.9321289062,0.35735099481791,2985,17152.7410817106,35.735099481791
"65","CR246210",400.020687787077,12506.5559692383,0.373080999995915,2978,4199.64941881742,37.3080999995915
"66","CR246211",516.824182950331,12749.1389770508,0.527122896260406,2972,4289.7506652257,52.7122896260406
"67","CR246212",272.646431886234,4287.6870880127,0.728127874977915,2965,1446.10019831794,72.8127874977915
"68","CR247201",265.020040427159,3332.15180969238,0.652394362969192,3029,1100.08313294565,65.2394362969192
"69","CR247202",75.525014996168,9105.56573486328,0.864005802869601,3025,3010.10437516142,86.4005802869601
"70","CR247203",452.063050203745,10571.9166259766,0.612704831411176,3020,3500.6346443631,61.2704831411176
"71","CR247204",373.75000453814,21754.9024658203,0.711218202354843,3014,7217.9503868017,71.1218202354843
"72","CR247205",905.118886840019,75224.2895507812,0.542554570827241,3009,24999.763891918,54.2554570827241
"73","CR247206",552.392579382288,57505.9047851562,0.607793999623295,3003,19149.4854429425,60.7793999623295
"74","CR247207",401.479789998226,47444.94921875,0.60029018974076,2997,15830.8138868035,60.029018974076
"75","CR247208",356.553358319228,39880.3757324219,0.627096651783554,2991,13333.458954337,62.7096651783554
"76","CR247209",319.203411313641,39993.8793945312,0.492307526158123,2985,13398.2845542818,49.2307526158123
"77","CR247210",351.905283353792,10520.8172607422,0.582532487206022,2978,3532.84662885903,58.2532487206022
"78","CR247211",239.858510217579,3538.71934509277,0.724192615916259,2972,1190.6861861012,72.4192615916259
"79","CR247212",284.327614792494,3210.39874267578,0.7035109426084,2965,1082.76517459554,70.35109426084
"80","CR247224",241.353173024697,4036.82543945312,0.407368568885184,2863,1409.99840707409,40.7368568885184
"81","CR248202",333.488050696016,3181.82374572753,0.696723490536232,3025,1051.84256057109,69.6723490536232
"82","CR248203",427.730547447214,13453.6439819336,0.626441897129771,3020,4454.84900064026,62.6441897129771
"83","CR248204",642.598577935025,36487.8371582031,0.562760647515125,3014,12106.1171725956,56.2760647515125
"84","CR248205",1151.42774716745,93138.4077148438,0.389459606813128,3009,30953.2760767178,38.9459606813128
"85","CR248206",955.47226365457,148319.966796875,0.326656252712032,3003,49390.5983339577,32.6656252712032
"86","CR248207",370.579288422395,149271.94921875,0.439012582017575,2997,49807.1235297798,43.9012582017575
"87","CR248208",452.452620039237,111937.595214844,0.553671259361386,2991,37424.8061567515,55.3671259361386
"88","CR248209",521.551754739174,86334.5258789062,0.598578925511726,2985,28922.7892391646,59.8578925511726
"89","CR248210",338.018112561469,37902.3247070312,0.70146375410536,2978,12727.4428163302,70.146375410536
"90","CR248212",359.587260163024,4302.08117675781,0.612230381720853,2965,1450.9548656856,61.2230381720853
"91","CR248222",256.635637332188,3019.05821228028,0.482339562697812,2882,1047.55663160315,48.2339562697812
"92","CR248223",186.418096138218,4519.46368408203,0.311429596975741,2873,1573.08168607102,31.1429596975741
"93","CR248224",136.80008237276,5301.69482421875,0.307632063410855,2863,1851.7970046171,30.7632063410855
"94","CR249201",640.335244197928,2402.39332580566,0.356778826220129,3029,793.130843778693,35.6778826220129
"95","CR249202",506.787102945651,5890.37258911133,0.401626966640614,3025,1947.23060797069,40.1626966640614
"96","CR249203",673.765241236589,39381.1430664062,0.591821480739741,3020,13040.1135981478,59.1821480739741
"97","CR249204",1050.56199613199,79413.1440429688,0.41556032107276,3014,26348.0902597773,41.556032107276
"98","CR249205",1352.26151347294,140773.774414062,0.320773605715073,3009,46784.2387550889,32.0773605715073
"99","CR249206",889.804232483334,164107.073242188,0.247914808479289,3003,54647.7100373585,24.7914808479289
"100","CR249207",733.573710721223,157412.938476562,0.368170092179734,2997,52523.5029951827,36.8170092179734
"101","CR249208",968.823582310472,158839.412109375,0.371888997629252,2991,53105.788067327,37.1888997629252
"102","CR249209",674.230845131709,109664.885742188,0.681423151467982,2985,36738.6551900126,68.1423151467982
"103","CR249210",435.074006236326,17605.5610351562,0.610332335053854,2978,5911.87408836677,61.0332335053854
"104","CR249211",391.766367057284,2881.42158508301,0.645474780067304,2972,969.522740606666,64.5474780067304
"105","CR249212",346.226850759075,3427.50253295898,0.657648324247252,2965,1155.98736356121,65.7648324247252
"106","CR249223",120.762918814573,21482.4881591797,0.302287196875439,2873,7477.37144419759,30.2287196875439
"107","CR250200",461.538584403554,2016.39054870606,0.604475795737329,3034,664.598071425859,60.4475795737329
"108","CR250201",942.732103909098,4447.22877502442,0.23608555250983,3029,1468.21682899452,23.608555250983
"109","CR250202",484.697389850072,21195.9182128906,0.315942081985688,3025,7006.91511169938,31.5942081985688
"110","CR250203",258.449181699783,21645.2606201172,0.722361537019665,3020,7167.30484109841,72.2361537019665
"111","CR250204",596.829587801762,36234.0927734375,0.536619596510035,3014,12021.9285910542,53.6619596510035
