"","ID","Country","area_km2","Year","dEDD_total","dEDD_ghg","dEDD_luc","floss","soyarea","Forarea","Y0","dyt","dyl","dyg","CRVln","areasoyp","Scenario","CD_Bioma"
"1","CR234196","Brazil",3050,"X2015",13.7926406860352,11.8726692199707,1.78333270549774,0,1.6,0.804918032786885,1.19609280562401,-0.0666389760695817,-0.00887702797636591,-0.0576356974500583,5.71022557238605,0.00524590163934426,"IDC3",1
"2","CR234196","Brazil",3050,"X2020",28.4337196350098,26.3558368682861,1.78365707397461,0,4.4,0.804918032786885,1.27597246575356,-0.132525010544039,-0.00887863542030642,-0.123465473740096,6.09267937055312,0.0144262295081967,"IDC3",1
"3","CR234196","Brazil",3050,"X2025",56.9164199829102,54.5681495666504,1.78365707397461,0,12.11,0.804918032786885,1.34429059612751,-0.247671413184264,-0.00887863542030642,-0.238785997043894,6.41889366963546,0.0397049180327869,"IDC3",1
"4","CR234196","Brazil",3050,"X2030",56.8240776062012,54.4764595031738,1.78387045860291,0,NA,0.804918032786885,1.41260872650146,-0.247323973933158,-0.00887969287006229,-0.238436938235695,6.74591131432634,NA,"IDC3",1
"5","CR234196","Brazil",3050,"X2035",65.1373977661133,62.7177085876465,1.78387045860291,0,NA,0.804918032786885,1.48197790503502,-0.277968844118984,-0.00887969287006229,-0.269180332781893,7.07718374494058,NA,"IDC3",1
"6","CR234196","Brazil",3050,"X2040",79.8917922973633,77.3506774902344,1.78387045860291,0,NA,0.804918032786885,1.55134708356857,-0.329317186876663,-0.00887969287006229,-0.320741412035463,7.40845617555482,NA,"IDC3",1
"7","CR234196","Brazil",3050,"X2045",82.9889221191406,80.4232711791992,1.78387045860291,0,NA,0.804918032786885,1.61756311762333,-0.33962314242726,-0.00887969287006229,-0.331097089635335,7.72467076841387,NA,"IDC3",1
"8","CR234196","Brazil",3050,"X2050",90.4286575317383,87.8052368164062,1.78387045860291,0,NA,0.804918032786885,1.68377915167809,-0.363737005441697,-0.00887969287006229,-0.35533610052362,8.04088536127292,NA,"IDC3",1
"9","CR235194","Brazil",2972,"X2015",17.0651340484619,12.8510437011719,3.89510607719421,-0.269999999999982,1.75,0.962247644683715,0.338195855975151,-0.0817867990128406,-0.0192871074389841,-0.0622343661571635,3.5079724936093,0.00588829071332436,"IDC3",1
"10","CR235194","Brazil",2972,"X2020",33.1424369812012,28.408224105835,4.04175138473511,-2.70999999999998,4.8,0.954037685060565,0.360781870961189,-0.152709938032115,-0.0200059285961001,-0.132414419825757,3.88172012060887,0.0161507402422611,"IDC3",1
"11","CR235194","Brazil",2972,"X2025",78.8338928222656,56.4126586914062,17.2778816223145,-6.94999999999999,7.2,0.939771197846568,0.380098857462406,-0.325760212887885,-0.08276301785426,-0.245774054545151,16.9181815215759,0.0242261103633917,"IDC3",1
"12","CR235194","Brazil",2972,"X2030",88.9257049560547,56.3319969177246,25.2850952148438,-9.55000000000001,7.2,0.931022880215343,0.399415843963623,-0.35893762940856,-0.118760179452563,-0.24546980718386,25.5103802107995,0.0242261103633917,"IDC3",1
"13","CR235194","Brazil",2972,"X2035",101.327949523926,65.9701690673828,26.616626739502,-13.1,7.2,0.919078061911171,0.419030014872551,-0.39748321050246,-0.124607685516198,-0.280969027743443,28.0808829774536,0.0242261103633917,"IDC3",1
"14","CR235194","Brazil",2972,"X2040",125.256240844727,79.4557113647461,33.330883026123,-18.15,7.2,0.902086137281292,0.438644185781479,-0.465423911559926,-0.153507904344488,-0.32785323151592,36.212951075226,0.0242261103633917,"IDC3",1
"15","CR235194","Brazil",2972,"X2045",131.886199951172,83.1176300048828,35.1929206848145,-25.32,7.2,0.877960969044415,0.457366803467274,-0.482854493288695,-0.161352331932439,-0.34004798425702,39.6881343148487,0.0242261103633917,"IDC3",1
"16","CR235194","Brazil",2972,"X2050",144.149536132812,90.7364349365234,37.8655395507812,-35.51,7.2,0.843674293405114,0.476089421153069,-0.513611543270226,-0.172484712642813,-0.364715389303631,44.1631394565302,0.0242261103633917,"IDC3",1
"17","CR235195","Brazil",2884,"X2015",25.9922733306885,12.700608253479,12.3220586776733,-1.44,1.79,0.618446601941748,0.513325404763222,-0.121870644659043,-0.0597507632539043,-0.061528734845736,16.4951782689889,0.00620665742024965,"IDC3",1
