"","ID","Scenario","CRVl2_NPV","soyarea","Forarea","area_km2","soyperc","forperc"
"1","CR238207","IDC3",708.959384996665,120683.611111111,16614.1666666667,2997,40268.1385088792,1661416.66666667
"2","CR238207","IDC3NoFC",531.741461184615,81872.5,18504.1666666667,2997,27318.1514848182,1850416.66666667
"3","CR238207","IDC3ZD",709.044064937112,120683.611111111,18504.1666666667,2997,40268.1385088792,1850416.66666667
"4","CR239205","IDC3",314.453238614806,74065.8333333333,147630,3009,24614.7668106791,14763000
"5","CR239205","IDC3NoFC",323.893949486404,76870,59750.8333333333,3009,25546.6932535726,5975083.33333333
"6","CR239205","IDC3ZD",283.227916709355,65181.6666666667,147630,3009,21662.2355156752,14763000
"7","CR239206","IDC3",443.718150333636,95785.8333333333,5986.11111111111,3003,31896.7143967144,598611.111111111
"8","CR239206","IDC3NoFC",246.610342249062,44583.3333333333,12458.3333333333,3003,14846.2648462648,1245833.33333333
"9","CR239206","IDC3ZD",435.356550110758,92596.6666666667,12458.3333333333,3003,30834.7208347208,1245833.33333333
"10","CR240204","IDC3",36.2842239103836,17398.3333333333,2926.94444444444,3014,5772.50608272506,292694.444444444
"11","CR240204","IDC3NoFC",33.996411423877,17149.1666666667,6297.5,3014,5689.83631939836,629750
"12","CR240204","IDC3ZD",36.2047466170302,17398.3333333333,6297.5,3014,5772.50608272506,629750
"13","CR240205","IDC3",173.392772866191,48050,18282.7777777778,3009,15968.7603855101,1828277.77777778
"14","CR240205","IDC3NoFC",173.233497478778,48050,11758.8888888889,3009,15968.7603855101,1175888.88888889
"15","CR240205","IDC3ZD",173.456219951698,48050,35701.6666666667,3009,15968.7603855101,3570166.66666667
"16","CR240206","IDC3",515.779553201674,87207.5,135000,3003,29040.1265401265,13500000
"17","CR240206","IDC3NoFC",503.300693276983,87241.3888888889,51993.8888888889,3003,29051.4115514116,5199388.88888889
"18","CR240206","IDC3ZD",515.848926537366,87241.3888888889,135000,3003,29051.4115514116,13500000
"19","CR240207","IDC3",404.774046547525,74643.8888888889,33845.2777777778,2997,24906.2024987951,3384527.77777778
"20","CR240207","IDC3NoFC",227.96962401444,38113.3333333333,42607.5,2997,12717.1616060505,4260750
"21","CR240207","IDC3ZD",389.899548329017,71230.8333333333,42607.5,2997,23767.3784896007,4260750
"22","CR240208","IDC3",56.2517268467972,14823.0555555556,89053.3333333333,2908,5097.33684854042,8905333.33333333
"23","CR240208","IDC3NoFC",56.8308955210531,15087.5,31560,2908,5188.27372764787,3156000
"24","CR240208","IDC3ZD",56.2593880646169,14823.0555555556,91970,2908,5097.33684854042,9197000
"25","CR241208","IDC3",63.7887784807017,11752.7777777778,53447.7777777778,2991,3929.38073479698,5344777.77777778
"26","CR241208","IDC3NoFC",72.2567145247056,14820.5555555556,19030.8333333333,2991,4955.05033619377,1903083.33333333
"27","CR241208","IDC3ZD",60.8832185297755,10749.7222222222,60112.5,2991,3594.02280916825,6011250
"28","CR241209","IDC3",58.3960344414485,12293.0555555556,60450,2985,4118.27656802531,6045000
"29","CR241209","IDC3NoFC",58.2426995486781,12293.0555555556,14918.8888888889,2985,4118.27656802531,1491888.88888889
"30","CR241209","IDC3ZD",58.3960344414485,12293.0555555556,60450,2985,4118.27656802531,6045000
"31","CR242206","IDC3",20.3371388144228,17664.7222222222,16597.7777777778,3003,5882.35838235838,1659777.77777778
"32","CR242206","IDC3NoFC",20.3373996398506,17664.7222222222,16597.7777777778,3003,5882.35838235838,1659777.77777778
"33","CR242206","IDC3ZD",20.6570148570936,17683.8888888889,21770,3003,5888.74088874089,2177000
"34","CR242207","IDC3",117.48138444732,23483.8888888889,64948.6111111111,2997,7835.79876172469,6494861.11111111
"35","CR242207","IDC3NoFC",116.957313273604,23726.6666666667,75178.3333333333,2997,7916.80569458347,7517833.33333333
"36","CR242207","IDC3ZD",129.353036939242,30722.5,80568.3333333333,2997,10251.0844177511,8056833.33333333
"37","CR242208","IDC3",294.68273569507,35210.8333333333,11080.8333333333,2991,11772.2612281288,1108083.33333333
"38","CR242208","IDC3NoFC",294.645809837304,35210.8333333333,11080.8333333333,2991,11772.2612281288,1108083.33333333
"39","CR242208","IDC3ZD",246.899397552978,18893.6111111111,11290.8333333333,2991,6316.82083286898,1129083.33333333
