"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"1","X2000","CR254205",1.015,1.6985,0.0261132858206699,0.00948389759931463,0.0443534159664078,0.00962615606330434,0.0539795720297121
"2","X2005","CR254205",1.015,1.6985,0.0092033319772663,0.00948389759931463,0.0156318593633868,0.00962615606330434,0.0252580154266911
"3","X2010","CR254205",1.015,1.6985,0.00391336305959156,0.00948389759931463,0.00664684715671626,0.00962615606330434,0.0162730032200206
"4","X2015","CR254205",1.015,1.6985,0.0230418068490638,0.00948389759931463,0.0391365089331349,0.00962615606330434,0.0487626649964393
"5","X2000","CR272205",1.015,1.603,0.0130176961053507,0.0184762636448942,0.0208673668568772,0.0187534075995676,0.0396207744564448
"6","X2005","CR272205",1.015,1.603,0.0514040579337484,0.0184762636448942,0.0824007048677987,0.0187534075995676,0.101154112467366
"7","X2010","CR272205",1.015,1.603,0.0536792801064516,0.0184762636448942,0.086047886010642,0.0187534075995676,0.10480129361021
"8","X2012","CR272205",1.015,1.603,0.0633214745834664,0.0184762636448942,0.101504323757297,0.0187534075995676,0.120257731356864
"9","X2015","CR272205",1.015,1.603,0.0933858786082073,0.0184762636448942,0.149697563408956,0.0187534075995676,0.168450971008524
"10","X2000","CR258214",1.015,1.603,0.154051077875246,0.0185386444623669,0.246943877834019,0.0188167241293024,0.265760601963322
"11","X2005","CR258214",1.015,1.603,0.194656280400527,0.0185386444623669,0.312034017482045,0.0188167241293024,0.330850741611348
"12","X2010","CR258214",1.015,1.603,0.211749460309571,0.0185386444623669,0.339434384876243,0.0188167241293024,0.358251109005545
"13","X2012","CR258214",1.015,1.603,0.206496875980223,0.0185386444623669,0.331014492196297,0.0188167241293024,0.3498312163256
"14","X2015","CR258214",1.015,1.603,0.201240865691261,0.0185386444623669,0.322589107703092,0.0188167241293024,0.341405831832394
"15","X2000","CR255212",1.015,1.603,0.154608068120552,0.0347067159366473,0.247836733197244,0.0352273166756971,0.283064049872941
